drive.id,Order ID,Order Date,Ship Date,Status,Customer Name,Country,City,State,Category,Product Name,Currency,Total Amount,Quantity,Profit
Not_Applicable,CA-2014-136651,2014-04-24 00:00:00,2014-04-26 00:00:00,On time,JayFein,United States,Pasadena,California,Binders,GBC Durable Plastic Covers,USD,92.88,6,30.19
Not_Applicable,CA-2013-109869,2013-04-23 00:00:00,2013-04-30 00:00:00,Delay,TanjaNorvell,United States,Phoenix,Arizona,Tables,Bush Advantage Collection Racetrack Conference Table,USD,1272.63,6,-814.48
Not_Applicable,CA-2012-119627,2012-08-17 00:00:00,2012-08-23 00:00:00,Delay,StevenCartwright,United States,Peoria,Arizona,Accessories,Imation Clip USB flash drive - 8 GB,USD,30.08,2,-5.26
Not_Applicable,CA-2011-127558,2011-11-15 00:00:00,2011-11-18 00:00:00,On time,ShahidShariari,United States,Los Angeles,California,Furnishings,Eldon 100 Class Desk Accessories,USD,10.11,3,3.24
Not_Applicable,CA-2014-131492,2014-10-20 00:00:00,2014-10-25 00:00:00,Delay,HilaryHolden,United States,San Francisco,California,Furnishings,"Linden 10"" Round Wall Clock, Black",USD,30.56,2,10.39
Not_Applicable,US-2012-131359,2012-10-30 00:00:00,2012-11-02 00:00:00,On time,FrankAtkinson,United States,Denver,Colorado,Machines,Lexmark S315 Color Inkjet Printer,USD,59.99,2,-46.0
Not_Applicable,CA-2011-100363,2011-04-08 00:00:00,2011-04-15 00:00:00,Delay,JimMitchum,United States,Glendale,Arizona,Paper,Things To Do Today Spiral Book,USD,19.01,3,6.89
Not_Applicable,CA-2012-103835,2012-09-24 00:00:00,2012-09-28 00:00:00,On time,ShaunChance,United States,Los Angeles,California,Appliances,Hoover Upright Vacuum With Dirt Cup,USD,1158.12,4,335.85
Not_Applicable,CA-2013-157707,2013-10-11 00:00:00,2013-10-13 00:00:00,On time,CoreyCatlett,United States,Denver,Colorado,Chairs,"Global Manager's Adjustable Task Chair, Storm",USD,120.78,1,13.59
Not_Applicable,CA-2012-168207,2012-11-02 00:00:00,2012-11-06 00:00:00,On time,LizThompson,United States,San Diego,California,Furnishings,Contemporary Wood/Metal Frame,USD,96.96,6,33.94
Not_Applicable,CA-2012-144099,2012-11-29 00:00:00,2012-11-30 00:00:00,On time,PhillinaOber,United States,San Francisco,California,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",USD,4.3,1,1.56
Not_Applicable,CA-2013-150350,2013-08-24 00:00:00,2013-08-31 00:00:00,Delay,MaxwellSchwartz,United States,Seattle,Washington,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",USD,43.1,5,11.21
Not_Applicable,CA-2011-103401,2011-11-21 00:00:00,2011-11-26 00:00:00,Delay,GeorgiaRosenberg,United States,San Francisco,California,Paper,Xerox 211,USD,12.96,2,6.22
Not_Applicable,CA-2012-148635,2012-07-25 00:00:00,2012-07-27 00:00:00,On time,MichelleHuthwaite,United States,Seattle,Washington,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,USD,561.57,2,28.08
Not_Applicable,CA-2014-101574,2014-09-29 00:00:00,2014-10-05 00:00:00,Delay,BruceDegenhardt,United States,Los Angeles,California,Furnishings,Longer-Life Soft White Bulbs,USD,9.24,3,4.44
Not_Applicable,CA-2013-159345,2013-06-18 00:00:00,2013-06-23 00:00:00,Delay,IvanGibson,United States,San Diego,California,Paper,Xerox 1934,USD,111.96,2,54.86
Not_Applicable,CA-2013-130029,2013-07-04 00:00:00,2013-07-07 00:00:00,On time,GuyThornton,United States,Los Angeles,California,Paper,Xerox 200,USD,12.96,2,6.22
Not_Applicable,CA-2012-132486,2012-10-23 00:00:00,2012-10-27 00:00:00,On time,JayFein,United States,San Diego,California,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,USD,842.35,3,42.12
Not_Applicable,US-2014-101784,2014-07-07 00:00:00,2014-07-12 00:00:00,Delay,PatrickO'Brill,United States,Los Angeles,California,Chairs,"Global Task Chair, Black",USD,122.14,3,-13.74
Not_Applicable,CA-2013-125738,2013-10-16 00:00:00,2013-10-22 00:00:00,Delay,PatrickBzostek,United States,Salt Lake City,Utah,Paper,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",USD,71.6,8,32.94
Not_Applicable,CA-2013-107216,2013-06-15 00:00:00,2013-06-18 00:00:00,On time,PaulVanHugh,United States,San Francisco,California,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",USD,8.73,3,4.1
Not_Applicable,CA-2013-134348,2013-11-13 00:00:00,2013-11-20 00:00:00,Delay,MauriceSatty,United States,Mesa,Arizona,Accessories,Micropad Numeric Keypads,USD,31.98,2,2.0
Not_Applicable,CA-2011-144666,2011-11-09 00:00:00,2011-11-11 00:00:00,On time,JeremyPistek,United States,San Francisco,California,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",USD,222.67,2,10.48
Not_Applicable,CA-2013-110086,2013-09-19 00:00:00,2013-09-23 00:00:00,On time,BillDonatelli,United States,Woodland,California,Phones,Polycom CX300 Desktop Phone USB VoIP phone,USD,239.98,2,24.0
Not_Applicable,CA-2012-111780,2012-12-25 00:00:00,2012-12-30 00:00:00,Delay,RalphArnett,United States,San Diego,California,Paper,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",USD,12.6,3,6.17
Not_Applicable,CA-2014-112515,2014-09-18 00:00:00,2014-09-22 00:00:00,On time,AlanSchoenberger,United States,Provo,Utah,Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",USD,261.74,2,65.44
Not_Applicable,CA-2012-153794,2012-09-11 00:00:00,2012-09-16 00:00:00,Delay,SeanBraxton,United States,San Diego,California,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",USD,265.86,7,79.76
Not_Applicable,CA-2014-132521,2014-09-24 00:00:00,2014-09-26 00:00:00,On time,DonWeiss,United States,Seattle,Washington,Binders,Avery Printable Repositionable Plastic Tabs,USD,6.88,1,2.32
Not_Applicable,TRN-2026-1016,2026-03-15 00:00:00,2026-03-17 00:00:00,On time,Trainer_Account,United States,Boston,Massachusetts,Health & Household,"Claritin 24 Hour Non-Drowsy Allergy Tablets, 30 ct",USD,60.34,3,10.55
Not_Applicable,CA-2011-156601,2011-09-19 00:00:00,2011-09-24 00:00:00,Delay,FrankAtkinson,United States,Long Beach,California,Fasteners,OIC Binder Clips,USD,7.16,2,3.58
Not_Applicable,US-2013-108455,2013-12-03 00:00:00,2013-12-09 00:00:00,Delay,MikeKennedy,United States,San Francisco,California,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),USD,40.46,7,19.83
Not_Applicable,CA-2012-129532,2012-12-08 00:00:00,2012-12-12 00:00:00,On time,YanaSorensen,United States,Los Angeles,California,Accessories,WD My Passport Ultra 500GB Portable External Hard Drive,USD,236.0,4,40.12
Not_Applicable,CA-2011-136399,2011-12-16 00:00:00,2011-12-17 00:00:00,On time,ChadCunningham,United States,Los Angeles,California,Phones,GE 30524EE4,USD,627.17,4,70.56
Not_Applicable,CA-2014-118857,2014-04-16 00:00:00,2014-04-19 00:00:00,On time,AdamHart,United States,Henderson,Nevada,Furnishings,"Howard Miller 12"" Round Wall Clock",USD,196.45,5,70.72
Not_Applicable,US-2012-156867,2012-11-13 00:00:00,2012-11-17 00:00:00,On time,LenaCacioppo,United States,Aurora,Colorado,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,USD,238.9,6,-26.88
Not_Applicable,CA-2013-129868,2013-12-27 00:00:00,2014-01-01 00:00:00,Delay,MikeCaudle,United States,Los Angeles,California,Supplies,Fiskars Home & Office Scissors,USD,17.76,2,4.97
Not_Applicable,CA-2012-109736,2012-10-10 00:00:00,2012-10-11 00:00:00,On time,DennyJoy,United States,San Francisco,California,Paper,Xerox 1894,USD,45.36,7,21.77
Not_Applicable,CA-2012-144267,2012-08-21 00:00:00,2012-08-23 00:00:00,On time,NickZandusky,United States,San Francisco,California,Chairs,Hon GuestStacker Chair,USD,544.01,3,40.8
Not_Applicable,CA-2012-163104,2012-03-19 00:00:00,2012-03-26 00:00:00,Delay,MikeCaudle,United States,Los Angeles,California,Paper,Xerox 1974,USD,11.96,2,5.86
Not_Applicable,CA-2011-114433,2011-05-13 00:00:00,2011-05-17 00:00:00,On time,NaresjPatel,United States,Oakland,California,Accessories,Plantronics Audio 478 Stereo USB Headset,USD,149.97,3,52.49
Not_Applicable,CA-2011-169726,2011-08-09 00:00:00,2011-08-13 00:00:00,On time,JosephHolt,United States,Seattle,Washington,Binders,Ibico Ibimaster 300 Manual Binding System,USD,2060.74,7,643.98
Not_Applicable,CA-2012-126725,2012-11-17 00:00:00,2012-11-21 00:00:00,On time,BrianStugart,United States,San Diego,California,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,USD,225.57,2,2.82
Not_Applicable,CA-2013-159016,2013-03-11 00:00:00,2013-03-12 00:00:00,On time,KarenFerguson,United States,Los Angeles,California,Phones,Apple iPhone 5,USD,4158.91,8,363.9
Not_Applicable,CA-2014-164329,2014-01-31 00:00:00,2014-01-31 00:00:00,On time,MichaelMoore,United States,San Francisco,California,Storage,Space Solutions Commercial Steel Shelving,USD,129.3,2,6.47
Not_Applicable,CA-2014-117009,2014-09-23 00:00:00,2014-09-29 00:00:00,Delay,BerenikeKampe,United States,Santa Ana,California,Supplies,Fiskars Softgrip Scissors,USD,21.96,2,6.15
Not_Applicable,CA-2011-109897,2011-08-12 00:00:00,2011-08-16 00:00:00,On time,BenWallace,United States,San Francisco,California,Phones,BlackBerry Q10,USD,806.34,8,50.4
Not_Applicable,US-2014-101539,2014-03-17 00:00:00,2014-03-19 00:00:00,On time,ValerieMitchum,United States,Seattle,Washington,Paper,Xerox 214,USD,6.48,1,3.11
Not_Applicable,CA-2012-144519,2012-11-13 00:00:00,2012-11-17 00:00:00,On time,ArthurWiediger,United States,Helena,Montana,Phones,Panasonic KX TS3282W Corded phone,USD,339.96,5,42.5
Not_Applicable,CA-2014-138464,2014-07-09 00:00:00,2014-07-13 00:00:00,On time,VickyFreymann,United States,Seattle,Washington,Furnishings,"Master Big Foot Doorstop, Beige",USD,15.84,3,4.91
Not_Applicable,CA-2014-130631,2014-12-30 00:00:00,2015-01-03 00:00:00,On time,BruceStewart,United States,Edmonds,Washington,Fasteners,Acco Glide Clips,USD,19.6,5,9.6
Not_Applicable,CA-2014-140494,2014-03-11 00:00:00,2014-03-16 00:00:00,Delay,CandaceMcMahon,United States,San Francisco,California,Accessories,Maxell LTO Ultrium - 800 GB,USD,111.96,4,21.27
Not_Applicable,CA-2013-112109,2013-07-09 00:00:00,2013-07-13 00:00:00,On time,JoeElijah,United States,Broomfield,Colorado,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",USD,33.49,7,-1.26
Not_Applicable,CA-2011-163419,2011-11-11 00:00:00,2011-11-14 00:00:00,On time,TracyZic,United States,Louisville,Colorado,Chairs,"Global Airflow Leather Mesh Back Chair, Black",USD,603.92,5,75.49
Not_Applicable,CA-2014-133648,2014-06-26 00:00:00,2014-07-03 00:00:00,Delay,MaxLudwig,United States,Springfield,Oregon,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",USD,5.34,2,0.73
Not_Applicable,TRN-2026-1039,2026-03-15 00:00:00,2026-03-17 00:00:00,On time,Trainer_Account,United States,Boston,Massachusetts,Health & Household,"Advil Dual Action with Acetaminophen, 144 ct",USD,32.21,3,5.93
Not_Applicable,CA-2012-168529,2012-10-08 00:00:00,2012-10-12 00:00:00,On time,MariaBertelson,United States,San Francisco,California,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",USD,145.9,5,62.74
Not_Applicable,CA-2011-139192,2011-05-27 00:00:00,2011-06-01 00:00:00,Delay,LenaCreighton,United States,San Francisco,California,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,USD,99.99,1,38.0
Not_Applicable,CA-2013-154739,2013-12-11 00:00:00,2013-12-16 00:00:00,Delay,LoganHaushalter,United States,San Francisco,California,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",USD,321.57,2,28.14
Not_Applicable,CA-2014-100384,2014-06-25 00:00:00,2014-07-02 00:00:00,Delay,NicoleHansen,United States,Pomona,California,Art,4009 Highlighters by Sanford,USD,35.82,9,11.82
Not_Applicable,US-2012-128090,2012-08-16 00:00:00,2012-08-22 00:00:00,Delay,JohnMurray,United States,Phoenix,Arizona,Art,Newell 346,USD,2.3,1,0.26
